time,V
0,34248644946672.49
1,74826106143484.64
2,110773028557372.94
3,145513240668548.56
4,178946061331467.97
5,212605525246655.0
6,251907793363823.03
7,297287589715033.2
8,342358854009788.3
9,384063741361757.2
10,424100106521029.9
11,461851790928127.2
12,498304408988044.25
13,548221065716523.4
14,675643977072622.0
15,751562707678120.9
16,829899121500651.0
17,1046326843815478.8
18,1295875135538839.0
19,1460571482384016.5
20,1592292378295384.0
21,1740882414015524.2
22,1882566054918674.0
23,1972015344112838.5
24,2071441710342036.0
25,2190128418258483.5
26,2284263053733268.0
27,2401528070828421.5
28,2539043189426808.0
29,2623445134633728.0
30,2868773959451638.0
31,2991191174214979.0
32,3129047214690892.5
33,3403912214913465.5
34,3718451936404473.5
35,3894076572072785.5
36,4190012056978475.5
37,4379172150627226.0
38,4584996690364133.0
39,4842715961786298.0
40,5057017833310725.0
41,5334255093252734.0
42,5613459509330455.0
43,5900675119579128.0
44,6137835221456338.0
45,6455786439569586.0
46,6737865202057693.0
47,7082040828667748.0
48,7473588619526592.0
49,7802169943421972.0
50,8064264769284555.0
51,8350528001810361.0
52,8620926151000599.0
53,8967823176668702.0
54,9347385175287846.0
55,1.0400775744728212e+16
56,1.0924150605249734e+16
57,1.1705167142508414e+16
58,1.2359300512467032e+16
59,1.2986780639190464e+16
60,1.3550907207646232e+16
61,1.4248041314600788e+16
62,1.5848276614633882e+16
63,1.7038987764329418e+16
64,1.8260590802877812e+16
65,2.0209504393071676e+16
66,2.1264574070527824e+16
67,2.440522314317439e+16
68,2.6892652544175644e+16
69,2.8282864516791196e+16
70,2.9394041033392708e+16
71,3.068500361701849e+16
72,3.2085327926567616e+16
73,3.3217196172771584e+16
74,3.4991952115553804e+16
75,3.659776693450362e+16
76,3.722272382958263e+16
77,3.8307418298165544e+16
78,3.954832272863335e+16
79,4.064049393998939e+16
80,4.171255327730265e+16
81,4.273841333512625e+16
82,4.366826622458821e+16
83,4.477387003078315e+16
84,4.583431523415161e+16
85,4.6816839246999304e+16
86,4.8235718429715464e+16
87,5.010527200565854e+16
88,5.1919440319797464e+16
89,5.406649288215117e+16
90,5.56189049267308e+16
91,5.7501631174155736e+16
92,5.870519120249263e+16
93,5.956376844372738e+16
94,6.04247205716205e+16
95,6.157114279725067e+16
96,6.2748451159739176e+16
